id,time_utc,timestamp_ms,latitude,longitude,depth_km,magnitude,mag_type,place,segment
reloc_2026_01,2026-06-24 22:04:31,1782353071000,10.371,-68.556,10.0,7.2,Mw,"Yaracuy Fault Zone, Venezuela",Yaracuy
reloc_2026_02,2026-06-24 22:05:04,1782353104000,10.596,-67.221,10.0,7.5,Mw,"Central Coastal Fault Zone, Venezuela",Central Coast
aftershock_0001,2026-06-24 22:05:23,1782353123557,10.0653,-68.5891,4.7,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0002,2026-06-24 22:05:28,1782353128424,10.1868,-68.4728,13.7,3.0,mb,Yaracuy Cluster,Yaracuy
aftershock_0003,2026-06-24 22:05:43,1782353143628,11.1292,-67.085,10.3,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0004,2026-06-24 22:06:07,1782353167780,10.4028,-68.4591,10.4,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0005,2026-06-24 22:06:25,1782353185651,10.1794,-67.3443,8.8,2.9,mb,Central Coast Cluster,Central Coast
aftershock_0006,2026-06-24 22:06:31,1782353191311,10.4222,-68.4887,16.2,3.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0007,2026-06-24 22:06:40,1782353200132,10.1962,-67.2427,11.7,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0008,2026-06-24 22:07:05,1782353225038,10.7439,-67.2188,4.5,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0009,2026-06-24 22:07:16,1782353236989,10.0818,-68.537,13.7,3.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0010,2026-06-24 22:07:29,1782353249797,10.6374,-67.2332,13.8,3.4,mb,Central Coast Cluster,Central Coast
aftershock_0011,2026-06-24 22:07:48,1782353268461,10.4915,-67.2641,4.7,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0012,2026-06-24 22:08:15,1782353295800,10.4638,-67.8747,10.7,2.9,mb,Corridor Cluster,Corridor
aftershock_0013,2026-06-24 22:08:47,1782353327406,10.5487,-68.4766,11.6,2.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0014,2026-06-24 22:08:59,1782353339834,10.4061,-67.861,12.4,2.6,mb,Corridor Cluster,Corridor
aftershock_0015,2026-06-24 22:09:12,1782353352234,10.3273,-67.9219,5.1,2.8,mb,Corridor Cluster,Corridor
aftershock_0016,2026-06-24 22:09:13,1782353353056,10.4809,-68.494,8.3,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0017,2026-06-24 22:09:26,1782353366240,10.3149,-68.5179,11.4,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0018,2026-06-24 22:10:15,1782353415192,10.1184,-67.3583,4.8,2.5,mb,Central Coast Cluster,Central Coast
aftershock_0019,2026-06-24 22:10:26,1782353426774,10.0199,-67.9608,12.5,4.0,Mw,Corridor Cluster,Corridor
aftershock_0020,2026-06-24 22:11:04,1782353464141,10.6058,-67.1622,14.9,4.3,Mw,Central Coast Cluster,Central Coast
aftershock_0021,2026-06-24 22:11:24,1782353484049,10.8393,-67.1801,4.1,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0022,2026-06-24 22:11:36,1782353496251,10.1446,-67.2504,9.0,2.8,mb,Central Coast Cluster,Central Coast
aftershock_0023,2026-06-24 22:11:42,1782353502237,10.1411,-68.4763,3.2,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0024,2026-06-24 22:12:26,1782353546657,10.3028,-67.3224,9.3,3.2,mb,Central Coast Cluster,Central Coast
aftershock_0025,2026-06-24 22:12:27,1782353547273,11.2704,-67.6769,14.1,3.0,mb,Corridor Cluster,Corridor
aftershock_0026,2026-06-24 22:12:59,1782353579211,11.0073,-67.0828,8.1,2.6,mb,Central Coast Cluster,Central Coast
aftershock_0027,2026-06-24 22:13:27,1782353607303,10.4838,-68.442,8.3,3.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0028,2026-06-24 22:13:28,1782353608352,10.4344,-67.9302,8.0,3.2,mb,Corridor Cluster,Corridor
aftershock_0029,2026-06-24 22:13:37,1782353617936,10.6834,-67.1585,7.5,3.7,mb,Central Coast Cluster,Central Coast
aftershock_0030,2026-06-24 22:13:44,1782353624102,10.4386,-67.3384,16.3,3.0,mb,Central Coast Cluster,Central Coast
aftershock_0031,2026-06-24 22:14:54,1782353694593,10.2975,-68.5483,11.9,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0032,2026-06-24 22:14:57,1782353697487,10.8753,-67.1389,7.2,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0033,2026-06-24 22:16:04,1782353764443,10.5516,-68.4101,7.1,3.6,mb,Yaracuy Cluster,Yaracuy
aftershock_0034,2026-06-24 22:16:22,1782353782985,10.3628,-68.4697,10.8,3.3,mb,Yaracuy Cluster,Yaracuy
aftershock_0035,2026-06-24 22:16:30,1782353790782,9.2727,-68.0187,14.2,2.5,mb,Corridor Cluster,Corridor
aftershock_0036,2026-06-24 22:17:53,1782353873735,10.4514,-68.5272,16.5,2.5,mb,Yaracuy Cluster,Yaracuy
aftershock_0037,2026-06-24 22:18:16,1782353896884,10.4252,-68.5089,13.3,2.7,mb,Yaracuy Cluster,Yaracuy
aftershock_0038,2026-06-24 22:19:24,1782353964987,10.6325,-67.8648,11.8,3.2,mb,Corridor Cluster,Corridor
aftershock_0039,2026-06-24 22:19:44,1782353984417,10.8769,-67.2601,7.7,4.3,Mw,Central Coast Cluster,Central Coast
aftershock_0040,2026-06-24 22:19:54,1782353994453,10.6442,-67.8126,10.5,2.6,mb,Corridor Cluster,Corridor
aftershock_0041,2026-06-24 22:20:20,1782354020127,10.2258,-68.5556,11.5,2.9,mb,Yaracuy Cluster,Yaracuy
aftershock_0042,2026-06-24 22:20:37,1782354037127,10.7048,-67.1951,10.2,2.7,mb,Central Coast Cluster,Central Coast
aftershock_0043,2026-06-24 22:20:41,1782354041225,10.7765,-67.0729,15.2,3.9,mb,Central Coast Cluster,Central Coast
