node_id,time_days,latitude,longitude,magnitude,degree,frc_unweighted,frc_weighted,parent_idx,parent_dist_km
reloc_2026_01,0.0,10.371,-68.556,7.2,211,-43896.0,-230668854.8416876,,nan
reloc_2026_02,0.00038194444444444446,10.596,-67.221,7.5,260,-66821.0,-752278787.8276061,,nan
aftershock_0001,0.0006082986111111111,10.0653,-68.5891,2.9,1,-208.0,-1445341.8279101758,0,34.18473117148704
aftershock_0002,0.0006646296296296296,10.1868,-68.4728,3.0,1,-208.0,-1168596.1850636944,0,22.413836947575444
aftershock_0003,0.0008406018518518518,11.1292,-67.085,2.8,1,-257.0,-4055936.5388028445,1,61.120930139991216
aftershock_0004,0.0011201388888888888,10.4028,-68.4591,2.9,1,-208.0,-822353.6000124097,0,11.172534468511005
aftershock_0005,0.0013269791666666666,10.1794,-67.3443,2.9,1,-257.0,-3601464.0761825778,1,48.246826174674716
aftershock_0006,0.001392488425925926,10.4222,-68.4887,3.5,1,-208.0,-749695.4368882774,0,9.305380096360947
aftershock_0007,0.0014945833333333334,10.1962,-67.2427,2.5,1,-257.0,-3458796.621763763,1,44.519037442930035
aftershock_0008,0.0017828472222222221,10.7439,-67.2188,2.6,1,-257.0,-2094990.0323940972,1,16.447486601062813
aftershock_0009,0.0019211689814814814,10.0818,-68.537,3.7,1,-208.0,-1403028.4959524304,0,32.22471574274102
aftershock_0010,0.002069409722222222,10.6374,-67.2332,3.4,1,-257.0,-1122265.4935840962,1,4.792679131417012
aftershock_0011,0.0022854282407407406,10.4915,-67.2641,2.8,1,-257.0,-1826814.6730166206,1,12.538754921704893
aftershock_0012,0.0026018518518518517,10.4638,-67.8747,2.9,1,-257.0,-4433112.272420033,1,72.96021237142111
aftershock_0013,0.002967662037037037,10.5487,-68.4766,2.6,1,-208.0,-1146552.129277088,0,21.5826626948033
aftershock_0014,0.0031115046296296294,10.4061,-67.861,2.6,1,-257.0,-4437055.033148158,1,73.08950496087414
aftershock_0015,0.003255023148148148,10.3273,-67.9219,2.8,1,-257.0,-4708293.934510059,1,82.25887060193054
aftershock_0016,0.003264537037037037,10.4809,-68.494,2.7,1,-208.0,-920823.3582029942,0,13.975271363630084
aftershock_0017,0.0034171296296296298,10.3149,-68.5179,2.9,1,-208.0,-672210.9560122157,0,7.502179178683875
aftershock_0018,0.003983703703703704,10.1184,-67.3583,2.5,1,-257.0,-3853178.5389947197,1,55.189394220413675
aftershock_0019,0.00411775462962963,10.0199,-67.9608,4.0,1,-257.0,-5276355.694403042,1,103.21776153799053
aftershock_0020,0.004550243055555556,10.6058,-67.1622,4.3,1,-257.0,-1311927.7772329235,1,6.518400949162433
aftershock_0021,0.004780659722222223,10.8393,-67.1801,3.0,1,-257.0,-2710460.534879588,1,27.420281997560274
aftershock_0022,0.004921886574074074,10.1446,-67.2504,2.8,1,-257.0,-3677554.7095262217,1,50.29629454035177
aftershock_0023,0.004991168981481482,10.1411,-68.4763,2.7,1,-208.0,-1283731.2391029592,0,27.010235089321043
aftershock_0024,0.0055052893518518515,10.3028,-67.3224,3.2,1,-257.0,-3039754.0931300507,1,34.43632752142967
aftershock_0025,0.005512418981481482,11.2704,-67.6769,3.0,1,-257.0,-4925845.016282556,1,90.0047786747856
aftershock_0026,0.00588207175925926,11.0073,-67.0828,2.6,1,-257.0,-3598248.0997277065,1,48.16114419142143
aftershock_0027,0.006207210648148148,10.4838,-68.442,3.5,1,-208.0,-1036989.4427673627,0,17.68458141546014
aftershock_0028,0.006219351851851852,10.4344,-67.9302,3.2,1,-257.0,-4630980.404259099,1,79.59005056310437
aftershock_0029,0.0063302777777777776,10.6834,-67.1585,3.7,1,-257.0,-1777569.5236899236,1,11.878537492260923
aftershock_0030,0.006401643518518518,10.4386,-67.3384,3.0,1,-257.0,-2409370.9887416647,1,21.70389830268888
aftershock_0031,0.007217511574074074,10.2975,-68.5483,2.9,1,-208.0,-703896.8459474089,0,8.21611780042346
aftershock_0032,0.0072510069444444445,10.8753,-67.1389,2.7,1,-257.0,-2944557.42290714,1,32.3259921205341
aftershock_0033,0.008025960648148148,10.5516,-68.4101,3.6,1,-208.0,-1250695.870320277,0,25.64757781336134
aftershock_0034,0.008240567129629629,10.3628,-68.4697,3.3,1,-208.0,-756920.3689913149,0,9.483406115249656
